seqnames	start	end	width	strand	gene_id	gene_name	entrezid	gene_biotype	seq_coord_system	symbol	logFC	logCPM	F	PValue	FDR	mlog10PValue
22	40300000	40400000	44000	+	ENSG00000239900	ADSL	NA	protein_coding	NA	ADSL	0.436	14.8	6.42	0.0276	0.254	1.56
22	20100000	20100000	5520	-	ENSG00000099899	TRMT2A	NA	protein_coding	NA	TRMT2A	0.341	14.2	6.28	0.0289	0.254	1.54
22	38700000	38700000	32600	+	ENSG00000100226	GTPBP1	NA	protein_coding	NA	GTPBP1	-0.401	12.3	6.2	0.0298	0.254	1.53
22	29300000	29300000	8340	-	ENSG00000100263	RHBDD3	NA	protein_coding	NA	RHBDD3	0.554	10.7	6.1	0.0308	0.254	1.51
22	37700000	37700000	40100	+	ENSG00000100101	Z83844.1	NA	protein_coding	NA	Z83844.1	1.88	9.03	5.6	0.0371	0.289	1.43
22	23900000	23900000	845	+	ENSG00000240972	MIF	NA	protein_coding	NA	MIF	0.785	12.6	5.5	0.0385	0.289	1.41
22	42600000	42600000	31200	-	ENSG00000100227	POLDIP3	NA	protein_coding	NA	POLDIP3	0.355	12	5.4	0.0401	0.289	1.4
22	20100000	20100000	11400	+	ENSG00000099901	RANBP1	NA	protein_coding	NA	RANBP1	0.698	13.6	5.23	0.0427	0.295	1.37
22	44800000	44900000	110000	+	ENSG00000241484	ARHGAP8	NA	protein_coding	NA	ARHGAP8	1.11	9.02	5.1	0.0449	0.295	1.35
22	17600000	17700000	102000	+	ENSG00000099968	BCL2L13	NA	protein_coding	NA	BCL2L13	-0.596	10.9	5.04	0.0461	0.295	1.34
22	4e+07	40300000	291000	+	ENSG00000100354	TNRC6B	NA	protein_coding	NA	TNRC6B	-0.898	9.28	4.85	0.0495	0.296	1.31
22	50200000	50300000	16300	-	ENSG00000188130	MAPK12	NA	protein_coding	NA	MAPK12	0.351	11.9	4.81	0.0504	0.296	1.3
22	17600000	17600000	36600	-	ENSG00000131100	ATP6V1E1	NA	protein_coding	NA	ATP6V1E1	0.358	13.1	4.77	0.0513	0.296	1.29
22	30300000	30300000	14200	-	ENSG00000248751	AC004997.1	NA	protein_coding	NA	AC004997.1	-0.906	9.43	4.57	0.0556	0.307	1.25
22	50200000	50200000	13700	+	ENSG00000170638	TRABD	NA	protein_coding	NA	TRABD	0.844	9.71	4.46	0.0581	0.307	1.24
22	46600000	46700000	104000	+	ENSG00000075240	GRAMD4	NA	protein_coding	NA	GRAMD4	-0.794	9.71	4.44	0.0586	0.307	1.23
22	31400000	31500000	131000	+	ENSG00000185721	DRG1	NA	protein_coding	NA	DRG1	0.32	13.4	4.19	0.065	0.331	1.19
22	20100000	20100000	18600	+	ENSG00000099904	ZDHHC8	NA	protein_coding	NA	ZDHHC8	0.809	10.1	3.85	0.0751	0.371	1.12
22	20700000	20900000	152000	-	ENSG00000241973	PI4KA	NA	protein_coding	NA	PI4KA	-0.253	14	3.69	0.0805	0.385	1.09
22	35400000	35400000	25300	+	ENSG00000100297	MCM5	NA	protein_coding	NA	MCM5	-0.325	11.7	3.62	0.0831	0.385	1.08
22	2.8e+07	28700000	702000	-	ENSG00000100154	TTC28	NA	protein_coding	NA	TTC28	-0.548	10.2	3.55	0.0857	0.385	1.07
22	43100000	43100000	11200	-	ENSG00000100294	MCAT	NA	protein_coding	NA	MCAT	0.513	11.1	3.53	0.0867	0.385	1.06
22	30600000	30600000	30500	-	ENSG00000100029	PES1	NA	protein_coding	NA	PES1	0.257	13.7	3.34	0.0943	0.408	1.03
22	35700000	3.6e+07	290000	-	ENSG00000100320	RBFOX2	NA	protein_coding	NA	RBFOX2	-0.3	11.7	3.23	0.0993	0.419	1
22	50200000	50300000	6220	-	ENSG00000100429	HDAC10	NA	protein_coding	NA	HDAC10	0.34	11.1	3.13	0.104	0.42	0.982
22	29300000	29300000	32500	+	ENSG00000182944	EWSR1	NA	protein_coding	NA	EWSR1	0.377	12.8	3.12	0.105	0.42	0.981
22	49800000	49800000	54200	-	ENSG00000100425	BRD1	NA	protein_coding	NA	BRD1	-0.319	11.7	2.99	0.111	0.42	0.954
22	50300000	50400000	102000	+	ENSG00000100239	PPP6R2	NA	protein_coding	NA	PPP6R2	-0.271	12.2	2.98	0.112	0.42	0.952
22	41500000	41500000	8980	-	ENSG00000100410	PHF5A	NA	protein_coding	NA	PHF5A	0.902	10	2.98	0.112	0.42	0.952
22	19200000	19300000	112000	-	ENSG00000070371	CLTCL1	NA	protein_coding	NA	CLTCL1	-0.697	9.55	2.85	0.119	0.43	0.925
22	32500000	32500000	24200	+	ENSG00000100225	FBXO7	NA	protein_coding	NA	FBXO7	-0.46	10.7	2.85	0.119	0.43	0.923
22	50300000	50300000	32700	-	ENSG00000196576	PLXNB2	NA	protein_coding	NA	PLXNB2	-0.207	12.6	2.62	0.134	0.472	0.874
22	29800000	29800000	49700	-	ENSG00000100325	ASCC2	NA	protein_coding	NA	ASCC2	-0.203	12.8	2.4	0.149	0.486	0.826
22	49900000	49900000	9370	+	ENSG00000184164	CRELD2	NA	protein_coding	NA	CRELD2	0.281	11.9	2.37	0.152	0.486	0.819
22	31100000	31100000	40700	+	ENSG00000183963	SMTN	NA	protein_coding	NA	SMTN	-0.448	10.5	2.36	0.153	0.486	0.816
22	29600000	29700000	95000	+	ENSG00000186575	NF2	NA	protein_coding	NA	NF2	-0.308	11.8	2.33	0.154	0.486	0.811
22	4.4e+07	4.4e+07	55100	+	ENSG00000100347	SAMM50	NA	protein_coding	NA	SAMM50	0.239	12.8	2.27	0.159	0.486	0.798
22	20500000	20600000	91700	+	ENSG00000099917	MED15	NA	protein_coding	NA	MED15	0.283	12.7	2.27	0.16	0.486	0.796
22	38200000	38300000	53700	-	ENSG00000198792	TMEM184B	NA	protein_coding	NA	TMEM184B	-0.272	12.5	2.23	0.163	0.486	0.789
22	31200000	31300000	67800	+	ENSG00000182541	LIMK2	NA	protein_coding	NA	LIMK2	-0.696	9.77	2.21	0.165	0.486	0.783
22	18900000	18900000	3020	-	ENSG00000215544	BCRP7	NA	unprocessed_pseudogene	NA	BCRP7	0.379	10.9	2.18	0.167	0.486	0.776
22	44700000	44700000	69100	+	ENSG00000186654	PRR5	NA	protein_coding	NA	PRR5	0.523	9.6	2.16	0.169	0.486	0.772
22	2e+07	20100000	50200	+	ENSG00000183597	TANGO2	NA	protein_coding	NA	TANGO2	-0.369	10.5	2.15	0.17	0.486	0.77
22	29300000	29400000	95500	-	ENSG00000100280	AP1B1	NA	protein_coding	NA	AP1B1	-0.182	12.9	2.11	0.174	0.486	0.759
22	30300000	30300000	35100	-	ENSG00000099992	TBC1D10A	NA	protein_coding	NA	TBC1D10A	-0.222	11.7	2.1	0.175	0.486	0.757
22	29100000	29200000	95300	+	ENSG00000183762	KREMEN1	NA	protein_coding	NA	KREMEN1	-0.452	10.3	2.08	0.177	0.486	0.752
22	18100000	18100000	53200	+	ENSG00000215193	PEX26	NA	protein_coding	NA	PEX26	0.58	9.97	2.02	0.183	0.495	0.737
22	31800000	31900000	154000	+	ENSG00000100150	DEPDC5	NA	protein_coding	NA	DEPDC5	0.19	13	1.95	0.19	0.501	0.721
22	37900000	37900000	37200	+	ENSG00000100139	MICALL1	NA	protein_coding	NA	MICALL1	-0.259	11.7	1.94	0.191	0.501	0.718
22	31400000	31500000	59100	-	ENSG00000184708	EIF4ENIF1	NA	protein_coding	NA	EIF4ENIF1	-0.24	11.9	1.84	0.202	0.512	0.696
22	39500000	39500000	2990	+	ENSG00000128272	ATF4	NA	protein_coding	NA	ATF4	0.916	8.74	1.82	0.205	0.512	0.689
22	38700000	38700000	16000	-	ENSG00000100221	JOSD1	NA	protein_coding	NA	JOSD1	-0.254	11	1.8	0.207	0.512	0.685
22	50200000	50200000	27300	-	ENSG00000128159	TUBGCP6	NA	protein_coding	NA	TUBGCP6	-0.244	12	1.79	0.207	0.512	0.684
22	31100000	31100000	15300	-	ENSG00000198832	SELENOM	NA	protein_coding	NA	SELENOM	0.724	9.48	1.74	0.213	0.514	0.671
22	19300000	19400000	117000	-	ENSG00000100084	HIRA	NA	protein_coding	NA	HIRA	0.54	10.1	1.74	0.214	0.514	0.67
22	45300000	45300000	33000	+	ENSG00000100376	FAM118A	NA	protein_coding	NA	FAM118A	0.649	9.47	1.69	0.22	0.522	0.657
22	2.2e+07	2.2e+07	25800	-	ENSG00000100038	TOP3B	NA	protein_coding	NA	TOP3B	-0.174	12.5	1.56	0.237	0.552	0.626
22	36800000	36800000	18100	-	ENSG00000100360	IFT27	NA	protein_coding	NA	IFT27	-0.256	11.2	1.55	0.239	0.552	0.621
22	50400000	50500000	30000	-	ENSG00000100241	SBF1	NA	protein_coding	NA	SBF1	0.232	12.4	1.49	0.247	0.555	0.608
22	2.1e+07	2.1e+07	3090	-	ENSG00000184436	THAP7	NA	protein_coding	NA	THAP7	0.5	9.84	1.47	0.251	0.555	0.6
22	42200000	42300000	184000	-	ENSG00000100207	TCF20	NA	protein_coding	NA	TCF20	-0.382	10.6	1.46	0.252	0.555	0.599
22	31900000	3.2e+07	13100	+	ENSG00000128245	YWHAH	NA	protein_coding	NA	YWHAH	0.705	9.59	1.45	0.254	0.555	0.596
22	19700000	19700000	1830	+	ENSG00000203618	GP1BB	NA	protein_coding	NA	GP1BB	-0.489	9.79	1.37	0.267	0.568	0.574
22	45500000	45600000	98900	+	ENSG00000077942	FBLN1	NA	protein_coding	NA	FBLN1	-0.164	12.6	1.31	0.276	0.568	0.559
22	45200000	45200000	50400	-	ENSG00000100364	KIAA0930	NA	protein_coding	NA	KIAA0930	0.293	10.5	1.31	0.277	0.568	0.557
22	2.5e+07	25200000	245000	+	ENSG00000197077	KIAA1671	NA	protein_coding	NA	KIAA1671	0.445	9.71	1.3	0.277	0.568	0.557
22	1.9e+07	1.9e+07	154	+	ENSG00000283366	AC000095.2	NA	transcribed_unprocessed_pseudogene	NA	AC000095.2	-0.35	10.2	1.31	0.277	0.568	0.558
22	29200000	29300000	53700	+	ENSG00000186998	EMID1	NA	protein_coding	NA	EMID1	0.544	9.3	1.29	0.279	0.568	0.554
22	4.4e+07	44200000	174000	+	ENSG00000188677	PARVB	NA	protein_coding	NA	PARVB	0.306	11	1.26	0.286	0.575	0.544
22	50600000	50600000	9600	-	ENSG00000205560	CPT1B	NA	protein_coding	NA	CPT1B	-0.278	10.8	1.17	0.302	0.599	0.52
22	46300000	46300000	33900	+	ENSG00000075218	GTSE1	NA	protein_coding	NA	GTSE1	-0.213	11.3	1.16	0.305	0.599	0.516
22	39100000	39100000	258	+	ENSG00000259421	AL022318.2	NA	unprocessed_pseudogene	NA	AL022318.2	-0.468	9.63	1.09	0.318	0.619	0.497
22	41600000	41700000	42900	+	ENSG00000196419	XRCC6	NA	protein_coding	NA	XRCC6	0.148	15.1	1.07	0.322	0.619	0.492
22	24600000	24600000	34200	+	ENSG00000100031	GGT1	NA	protein_coding	NA	GGT1	-0.47	9.54	1.04	0.329	0.625	0.483
22	17800000	1.8e+07	237000	-	ENSG00000243156	MICAL3	NA	protein_coding	NA	MICAL3	-0.192	11.5	0.939	0.353	0.659	0.452
22	21700000	21700000	34000	+	ENSG00000100023	PPIL2	NA	protein_coding	NA	PPIL2	-0.245	10.2	0.934	0.354	0.659	0.451
22	37600000	37600000	24800	+	ENSG00000100083	GGA1	NA	protein_coding	NA	GGA1	0.186	12	0.852	0.376	0.689	0.425
22	22500000	22600000	11700	-	ENSG00000185686	PRAME	NA	protein_coding	NA	PRAME	0.345	10.3	0.842	0.378	0.689	0.422
22	49900000	49900000	18200	-	ENSG00000182858	ALG12	NA	protein_coding	NA	ALG12	0.192	11.1	0.817	0.385	0.691	0.414
22	30900000	3.1e+07	43600	-	ENSG00000133422	MORC2	NA	protein_coding	NA	MORC2	-0.155	12.5	0.792	0.392	0.691	0.406
22	50800000	50800000	16200	-	ENSG00000079974	RABL2B	NA	protein_coding	NA	RABL2B	0.252	10.4	0.786	0.394	0.691	0.405
22	30300000	30400000	24900	-	ENSG00000099995	SF3A1	NA	protein_coding	NA	SF3A1	0.125	14.3	0.772	0.398	0.691	0.4
22	43900000	4.4e+07	40700	+	ENSG00000100344	PNPLA3	NA	protein_coding	NA	PNPLA3	-0.334	9.97	0.768	0.399	0.691	0.399
22	26500000	26600000	74700	-	ENSG00000128294	TPST2	NA	protein_coding	NA	TPST2	0.224	10.7	0.701	0.42	0.719	0.377
22	23800000	23800000	2610	-	ENSG00000250479	CHCHD10	NA	protein_coding	NA	CHCHD10	0.334	10.2	0.672	0.43	0.729	0.367
22	45200000	45200000	24100	+	ENSG00000093000	NUP50	NA	protein_coding	NA	NUP50	-0.166	10.7	0.591	0.458	0.769	0.339
22	17200000	17300000	79400	-	ENSG00000093072	ADA2	NA	protein_coding	NA	ADA2	-0.165	11	0.557	0.471	0.778	0.327
22	21500000	21500000	44500	-	ENSG00000183506	PI4KAP2	NA	transcribed_unitary_pseudogene	NA	PI4KAP2	0.138	12	0.543	0.476	0.778	0.322
22	50600000	50600000	14100	-	ENSG00000254413	CHKB-CPT1B	NA	protein_coding	NA	CHKB-CPT1B	-0.135	11.2	0.533	0.481	0.778	0.318
22	19500000	19500000	41200	+	ENSG00000093009	CDC45	NA	protein_coding	NA	CDC45	0.13	12.7	0.523	0.484	0.778	0.315
22	31600000	31700000	43900	-	ENSG00000241878	PISD	NA	protein_coding	NA	PISD	0.337	9.31	0.52	0.486	0.778	0.314
22	29500000	29600000	49300	-	ENSG00000100296	THOC5	NA	protein_coding	NA	THOC5	0.102	13.2	0.491	0.498	0.787	0.303
22	41700000	41700000	16600	-	ENSG00000100138	SNU13	NA	protein_coding	NA	SNU13	0.295	9.36	0.482	0.502	0.787	0.3
22	36500000	36500000	19900	-	ENSG00000100350	FOXRED2	NA	protein_coding	NA	FOXRED2	0.236	9.53	0.472	0.506	0.787	0.296
22	24600000	24700000	8570	+	ENSG00000284128	AP000356.3	NA	transcribed_unprocessed_pseudogene	NA	AP000356.3	0.14	11.1	0.454	0.514	0.787	0.289
22	24500000	24600000	15500	-	ENSG00000138867	GUCD1	NA	protein_coding	NA	GUCD1	0.134	11.8	0.448	0.517	0.787	0.286
22	41600000	41600000	23000	-	ENSG00000100418	DESI1	NA	protein_coding	NA	DESI1	-0.127	12.4	0.437	0.522	0.787	0.282
22	42800000	42900000	61600	-	ENSG00000242247	ARFGAP3	NA	protein_coding	NA	ARFGAP3	-0.157	10.8	0.431	0.525	0.787	0.28
22	35300000	35300000	48700	+	ENSG00000100284	TOM1	NA	protein_coding	NA	TOM1	0.169	10.5	0.424	0.528	0.787	0.277
22	37800000	37900000	40500	+	ENSG00000100129	EIF3L	NA	protein_coding	NA	EIF3L	0.0897	14.8	0.372	0.554	0.82	0.256
22	40400000	40600000	226000	-	ENSG00000196588	MRTFA	NA	protein_coding	NA	MRTFA	0.154	10.5	0.359	0.561	0.822	0.251
22	41500000	41500000	59900	+	ENSG00000100412	ACO2	NA	protein_coding	NA	ACO2	0.0767	13.7	0.335	0.574	0.835	0.241
22	46300000	46400000	26500	+	ENSG00000100416	TRMU	NA	protein_coding	NA	TRMU	0.116	12.5	0.317	0.584	0.84	0.233
22	28700000	28700000	54700	-	ENSG00000183765	CHEK2	NA	protein_coding	NA	CHEK2	-0.0907	12	0.311	0.588	0.84	0.231
22	20700000	20700000	973	-	ENSG00000235062	BCRP5	NA	unprocessed_pseudogene	NA	BCRP5	-0.166	11	0.301	0.594	0.84	0.226
22	38200000	38200000	15700	+	ENSG00000185022	MAFF	NA	protein_coding	NA	MAFF	0.104	11.2	0.286	0.603	0.84	0.219
22	24700000	24800000	55700	-	ENSG00000184571	PIWIL3	NA	protein_coding	NA	PIWIL3	0.139	10.9	0.278	0.608	0.84	0.216
22	23200000	23300000	138000	+	ENSG00000186716	BCR	NA	protein_coding	NA	BCR	-0.0781	13	0.273	0.612	0.84	0.213
22	41300000	41400000	58600	+	ENSG00000100403	ZC3H7B	NA	protein_coding	NA	ZC3H7B	-0.137	10.1	0.266	0.616	0.84	0.21
22	18900000	18900000	8210	+	ENSG00000183628	DGCR6	NA	protein_coding	NA	DGCR6	-0.11	11.3	0.26	0.62	0.84	0.208
22	18500000	18600000	44300	-	ENSG00000274602	PI4KAP1	NA	transcribed_unprocessed_pseudogene	NA	PI4KAP1	-0.15	10.3	0.258	0.621	0.84	0.207
22	50800000	50800000	44400	+	ENSG00000184319	RPL23AP82	NA	transcribed_unprocessed_pseudogene	NA	RPL23AP82	0.174	9.68	0.224	0.645	0.852	0.191
22	37600000	37700000	21500	+	ENSG00000100092	SH3BP1	NA	protein_coding	NA	SH3BP1	-0.0801	11.7	0.216	0.651	0.852	0.186
22	37100000	37100000	11700	+	ENSG00000100379	KCTD17	NA	protein_coding	NA	KCTD17	0.109	10.5	0.214	0.652	0.852	0.185
22	23900000	23900000	29600	+	ENSG00000133460	SLC2A11	NA	protein_coding	NA	SLC2A11	-0.141	9.78	0.213	0.654	0.852	0.185
22	37800000	37800000	18500	-	ENSG00000100124	ANKRD54	NA	protein_coding	NA	ANKRD54	0.0988	11.5	0.208	0.657	0.852	0.182
22	1.9e+07	19100000	86200	-	ENSG00000070413	DGCR2	NA	protein_coding	NA	DGCR2	-0.11	11.8	0.202	0.661	0.852	0.18
22	19800000	19800000	26900	+	ENSG00000184058	TBX1	NA	protein_coding	NA	TBX1	0.0807	11.5	0.198	0.665	0.852	0.177
22	23200000	23200000	255	-	ENSG00000236794	BCRP8	NA	processed_pseudogene	NA	BCRP8	0.094	10.5	0.173	0.685	0.868	0.164
22	31500000	31600000	130000	+	ENSG00000198089	SFI1	NA	protein_coding	NA	SFI1	0.074	12	0.165	0.692	0.868	0.16
22	38100000	38100000	19400	+	ENSG00000100151	PICK1	NA	protein_coding	NA	PICK1	-0.0995	10.3	0.159	0.698	0.868	0.156
22	21900000	2.2e+07	33400	-	ENSG00000100034	PPM1F	NA	protein_coding	NA	PPM1F	-0.0974	10.8	0.156	0.7	0.868	0.155
22	29900000	3e+07	148000	+	ENSG00000100330	MTMR3	NA	protein_coding	NA	MTMR3	-0.147	9.51	0.154	0.702	0.868	0.154
22	23700000	23700000	11000	+	ENSG00000159496	RGL4	NA	protein_coding	NA	RGL4	-0.159	9.35	0.132	0.723	0.883	0.141
22	20400000	20400000	40200	-	ENSG00000161133	USP41	NA	protein_coding	NA	USP41	0.13	9.36	0.131	0.724	0.883	0.14
22	20400000	20500000	54300	-	ENSG00000099910	KLHL22	NA	protein_coding	NA	KLHL22	-0.132	9.71	0.122	0.734	0.887	0.135
22	50200000	50200000	16600	+	ENSG00000073169	SELENOO	NA	protein_coding	NA	SELENOO	-0.158	9.61	0.1	0.757	0.903	0.121
22	23400000	23400000	12100	-	ENSG00000133519	ZDHHC8P1	NA	transcribed_unprocessed_pseudogene	NA	ZDHHC8P1	0.0954	10.1	0.101	0.757	0.903	0.121
22	26500000	26500000	21300	-	ENSG00000100109	TFIP11	NA	protein_coding	NA	TFIP11	-0.0459	12	0.0872	0.773	0.905	0.112
22	38500000	38500000	15400	+	ENSG00000100196	KDELR3	NA	protein_coding	NA	KDELR3	0.133	9.26	0.0817	0.78	0.905	0.108
22	16500000	16500000	6170	+	ENSG00000235969	CHEK2P4	NA	unprocessed_pseudogene	NA	CHEK2P4	-0.0622	11.3	0.0807	0.782	0.905	0.107
22	50600000	50600000	22500	-	ENSG00000100288	CHKB	NA	protein_coding	NA	CHKB	-0.0486	11.4	0.0783	0.785	0.905	0.105
22	45700000	45800000	174000	+	ENSG00000130638	ATXN10	NA	protein_coding	NA	ATXN10	-0.042	14.6	0.0769	0.787	0.905	0.104
22	40400000	40400000	39700	+	ENSG00000100359	SGSM3	NA	protein_coding	NA	SGSM3	-0.039	13.4	0.0746	0.79	0.905	0.103
22	36500000	36500000	18300	-	ENSG00000100353	EIF3D	NA	protein_coding	NA	EIF3D	-0.0368	14.8	0.057	0.816	0.924	0.0885
22	42800000	4.3e+07	180000	-	ENSG00000100266	PACSIN2	NA	protein_coding	NA	PACSIN2	0.0412	12.1	0.0536	0.821	0.924	0.0856
22	44700000	44900000	160000	+	ENSG00000248405	PRR5-ARHGAP8	NA	protein_coding	NA	PRR5-ARHGAP8	-0.119	9.06	0.0524	0.823	0.924	0.0846
22	17700000	17800000	40600	-	ENSG00000015475	BID	NA	protein_coding	NA	BID	-0.0846	10.3	0.0369	0.851	0.924	0.07
22	26400000	26500000	40400	-	ENSG00000100099	HPS4	NA	protein_coding	NA	HPS4	-0.0407	11.8	0.0372	0.851	0.924	0.0703
22	20400000	20400000	14300	+	ENSG00000185252	ZNF74	NA	protein_coding	NA	ZNF74	-0.0683	9.89	0.037	0.851	0.924	0.0701
22	50500000	50500000	4750	-	ENSG00000100258	LMF2	NA	protein_coding	NA	LMF2	-0.0299	12	0.0333	0.858	0.924	0.0663
22	33200000	33900000	761000	-	ENSG00000133424	LARGE1	NA	protein_coding	NA	LARGE1	-0.0596	10.1	0.0329	0.859	0.924	0.0659
22	36300000	36400000	107000	-	ENSG00000100345	MYH9	NA	protein_coding	NA	MYH9	0.0339	11.5	0.0308	0.864	0.924	0.0635
22	38300000	38300000	27400	-	ENSG00000213923	CSNK1E	NA	protein_coding	NA	CSNK1E	0.0238	16.2	0.0262	0.874	0.924	0.0583
22	16600000	16700000	96900	+	ENSG00000100181	TPTEP1	NA	transcribed_unprocessed_pseudogene	NA	TPTEP1	0.0621	9.39	0.0259	0.875	0.924	0.0579
22	20100000	20100000	31600	+	ENSG00000128191	DGCR8	NA	protein_coding	NA	DGCR8	0.0265	12.2	0.026	0.875	0.924	0.0581
22	2.1e+07	2.1e+07	16800	+	ENSG00000099949	LZTR1	NA	protein_coding	NA	LZTR1	-0.0192	13.9	0.0255	0.876	0.924	0.0575
22	19900000	19900000	66300	-	ENSG00000184470	TXNRD2	NA	protein_coding	NA	TXNRD2	0.0263	12.4	0.0223	0.884	0.927	0.0535
22	30700000	30900000	214000	+	ENSG00000184792	OSBP2	NA	protein_coding	NA	OSBP2	-0.0478	9.39	0.0137	0.909	0.943	0.0415
22	50500000	50500000	16600	+	ENSG00000025770	NCAPH2	NA	protein_coding	NA	NCAPH2	-0.0168	12.2	0.0133	0.91	0.943	0.0409
22	23800000	23800000	51100	+	ENSG00000099956	SMARCB1	NA	protein_coding	NA	SMARCB1	0.0137	12.6	0.00914	0.926	0.953	0.0336
22	41200000	41300000	40600	-	ENSG00000100401	RANGAP1	NA	protein_coding	NA	RANGAP1	-0.0126	13.5	0.00794	0.931	0.953	0.0312
22	19400000	19400000	4170	+	ENSG00000185608	MRPL40	NA	protein_coding	NA	MRPL40	0.0189	10.6	0.0058	0.941	0.957	0.0266
22	38500000	38500000	24200	-	ENSG00000100201	DDX17	NA	protein_coding	NA	DDX17	-0.00636	14.9	0.00259	0.96	0.968	0.0176
22	19900000	2e+07	28400	+	ENSG00000093010	COMT	NA	protein_coding	NA	COMT	-0.00992	12.5	0.00228	0.963	0.968	0.0165
22	39300000	39300000	7510	-	ENSG00000100316	RPL3	NA	protein_coding	NA	RPL3	0.00719	17.4	0.00173	0.968	0.968	0.0143
